Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops;mode
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.026945e+01;1.142093e+03;hetero
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.837784e+01;6.381957e+02;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.251266e+01;9.373435e+02;homo
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.856826e+01;6.316510e+02;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.872219e+01;6.264576e+02;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.525259e+01;4.644538e+02;homo
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.283471e+01;9.138239e+02;homo
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.043549e+01;5.739360e+02;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.497017e+01;4.697069e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.617698e+00;1.219487e+03;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.853258e+01;6.328673e+02;hetero
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.695771e+00;1.209668e+03;homo
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.044094e+01;5.737827e+02;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.054540e+01;5.708654e+02;hetero
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.342643e+00;1.255390e+03;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.346583e+00;1.254861e+03;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.333431e+00;1.256629e+03;hetero
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.376455e+00;1.250863e+03;hetero
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.898841e+01;6.176748e+02;homo
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.038979e+01;1.128864e+03;hetero
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.613002e+00;1.220083e+03;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.331681e+00;1.256865e+03;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.311108e+00;1.259642e+03;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.294619e+01;9.059546e+02;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.351257e+00;1.254234e+03;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.424691e+01;4.837177e+02;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.863056e+01;6.295389e+02;hetero
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.338689e+00;1.255922e+03;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.888466e+01;6.210683e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.349887e+00;1.254417e+03;hetero
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.887371e+01;6.214285e+02;homo
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.043185e+01;1.124313e+03;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.461768e+01;4.764324e+02;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.836157e+01;6.387612e+02;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.872149e+01;6.264812e+02;homo
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.075180e+01;5.651876e+02;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.867537e+01;6.280284e+02;hetero
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.322270e+00;1.258134e+03;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.275328e+01;9.196587e+02;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.923157e+01;6.098650e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.901583e+00;1.184524e+03;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.847277e+01;6.349162e+02;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.883270e+01;6.227816e+02;hetero
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.386612e+00;1.249510e+03;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.022139e+01;1.147463e+03;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.441229e+01;4.804409e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.400892e+00;1.247612e+03;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.859882e+01;6.306133e+02;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.342632e+00;1.255392e+03;homo
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.047850e+01;1.119307e+03;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.864493e+01;6.290537e+02;homo
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.890102e+01;6.205305e+02;hetero
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.353550e+00;1.253926e+03;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.290258e+01;9.090168e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.627895e+00;1.218196e+03;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.325238e+00;1.257733e+03;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.068515e+01;5.670087e+02;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.888976e+01;6.209003e+02;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.895257e+01;6.188427e+02;homo
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.868503e+01;6.277036e+02;homo
