Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops
0;dgetrf_nopiv;24;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.748258e+01;6.257764e+02
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.623219e+01;6.473722e+02
0;dgetrf_nopiv;8;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.266768e+01;3.742872e+02
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.683599e+01;6.367607e+02
0;dgetrf_nopiv;8;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.354516e+01;3.691188e+02
0;dgetrf_nopiv;24;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.886189e+01;6.035660e+02
0;dgetrf_nopiv;24;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.043900e+01;5.800270e+02
0;dgetrf_nopiv;8;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.285580e+01;3.731670e+02
0;dgetrf_nopiv;8;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.260235e+01;3.746778e+02
0;dgetrf_nopiv;8;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.300354e+01;3.722919e+02
0;dgetrf_nopiv;24;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.806986e+01;6.161229e+02
0;dgetrf_nopiv;24;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.791810e+01;6.185888e+02
0;dgetrf_nopiv;8;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.285861e+01;3.731503e+02
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.055972e+01;5.783006e+02
0;dgetrf_nopiv;24;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.779075e+01;6.206734e+02
0;dgetrf_nopiv;24;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.899196e+01;6.015526e+02
0;dgetrf_nopiv;8;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.217969e+01;3.772246e+02
0;dgetrf_nopiv;24;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.889740e+01;6.030149e+02
0;dgetrf_nopiv;8;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.434470e+01;3.645322e+02
0;dgetrf_nopiv;8;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.531604e+01;3.591110e+02
0;dgetrf_nopiv;24;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.769862e+01;6.221902e+02
0;dgetrf_nopiv;24;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;5.149384e+01;4.555052e+02
0;dgetrf_nopiv;24;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.762277e+01;6.234446e+02
0;dgetrf_nopiv;8;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.436649e+01;3.644087e+02
0;dgetrf_nopiv;8;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.532179e+01;3.590794e+02
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.621578e+01;6.476655e+02
0;dgetrf_nopiv;8;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.261782e+01;3.745852e+02
0;dgetrf_nopiv;24;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.767508e+01;6.225790e+02
0;dgetrf_nopiv;24;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.790779e+01;4.896012e+02
0;dgetrf_nopiv;8;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.354616e+01;3.691129e+02
0;dgetrf_nopiv;24;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.905590e+01;6.005677e+02
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.641029e+01;6.442055e+02
0;dgetrf_nopiv;24;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.817116e+01;6.144878e+02
0;dgetrf_nopiv;8;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.350808e+01;3.693343e+02
0;dgetrf_nopiv;8;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.254641e+01;3.750129e+02
0;dgetrf_nopiv;8;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.258547e+01;3.747789e+02
0;dgetrf_nopiv;24;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.728568e+01;6.290810e+02
0;dgetrf_nopiv;24;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.080871e+01;5.747722e+02
0;dgetrf_nopiv;24;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.896773e+01;6.019265e+02
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.668575e+01;6.393685e+02
0;dgetrf_nopiv;8;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.441915e+01;3.641108e+02
0;dgetrf_nopiv;8;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.282871e+01;3.733279e+02
0;dgetrf_nopiv;8;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.308160e+01;3.718313e+02
0;dgetrf_nopiv;8;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.904687e+01;3.397071e+02
0;dgetrf_nopiv;8;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.282583e+01;3.733450e+02
0;dgetrf_nopiv;8;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.530602e+01;3.591661e+02
0;dgetrf_nopiv;8;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.441469e+01;3.641360e+02
0;dgetrf_nopiv;8;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.719795e+01;3.490540e+02
0;dgetrf_nopiv;8;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.280102e+01;3.734925e+02
0;dgetrf_nopiv;24;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.935087e+01;5.960659e+02
0;dgetrf_nopiv;8;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.223893e+01;3.768656e+02
0;dgetrf_nopiv;24;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;5.178094e+01;4.529796e+02
0;dgetrf_nopiv;8;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.723012e+01;3.488870e+02
0;dgetrf_nopiv;8;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.261627e+01;3.745945e+02
0;dgetrf_nopiv;24;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.740621e+01;6.270540e+02
0;dgetrf_nopiv;8;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.719633e+01;3.490624e+02
0;dgetrf_nopiv;8;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.357594e+01;3.689401e+02
0;dgetrf_nopiv;24;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.903948e+01;6.008203e+02
0;dgetrf_nopiv;8;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.347981e+01;3.694987e+02
0;dgetrf_nopiv;8;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.436705e+01;3.644056e+02
0;dgetrf_nopiv;8;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.535314e+01;3.589072e+02
0;dgetrf_nopiv;8;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.253468e+01;3.750832e+02
0;dgetrf_nopiv;24;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.895599e+01;6.021079e+02
0;dgetrf_nopiv;24;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.739699e+01;6.272085e+02
0;dgetrf_nopiv;8;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.430209e+01;3.647737e+02
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.949414e+01;5.939036e+02
0;dgetrf_nopiv;24;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.799569e+01;4.887045e+02
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.691614e+01;6.353782e+02
0;dgetrf_nopiv;24;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.818217e+01;6.143106e+02
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.653379e+01;6.420279e+02
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.067484e+01;5.766639e+02
0;dgetrf_nopiv;8;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.303625e+01;3.720988e+02
0;dgetrf_nopiv;8;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.216960e+01;3.772859e+02
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.680840e+01;6.372379e+02
0;dgetrf_nopiv;24;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.743220e+01;6.266185e+02
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.129308e+01;5.680301e+02
0;dgetrf_nopiv;24;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.876942e+01;6.050055e+02
0;dgetrf_nopiv;8;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.441288e+01;3.641463e+02
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.067921e+01;5.766019e+02
0;dgetrf_nopiv;24;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.948067e+01;5.941062e+02
0;dgetrf_nopiv;8;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.724098e+01;3.488306e+02
0;dgetrf_nopiv;8;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.901794e+01;3.398495e+02
0;dgetrf_nopiv;8;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.902314e+01;3.398239e+02
0;dgetrf_nopiv;24;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.777953e+01;6.208576e+02
0;dgetrf_nopiv;8;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;8.741030e+01;2.683404e+02
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.125253e+01;5.685884e+02
0;dgetrf_nopiv;8;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.436459e+01;3.644195e+02
0;dgetrf_nopiv;8;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.213845e+01;3.774750e+02
0;dgetrf_nopiv;24;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.819549e+01;6.140964e+02
0;dgetrf_nopiv;8;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.441980e+01;3.641072e+02
0;dgetrf_nopiv;8;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;8.723109e+01;2.688916e+02
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.633359e+01;6.455655e+02
0;dgetrf_nopiv;8;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.222738e+01;3.769355e+02
0;dgetrf_nopiv;8;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.903752e+01;3.397531e+02
0;dgetrf_nopiv;24;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.898724e+01;6.016253e+02
0;dgetrf_nopiv;8;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.533431e+01;3.590106e+02
0;dgetrf_nopiv;24;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.795753e+01;6.179461e+02
0;dgetrf_nopiv;24;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.909006e+01;6.000429e+02
0;dgetrf_nopiv;24;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.938473e+01;5.955534e+02
0;dgetrf_nopiv;24;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.804470e+01;6.165303e+02
0;dgetrf_nopiv;24;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.810301e+01;6.155868e+02
0;dgetrf_nopiv;8;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.310987e+01;3.716647e+02
0;dgetrf_nopiv;8;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.352272e+01;3.692492e+02
0;dgetrf_nopiv;8;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.721567e+01;3.489620e+02
0;dgetrf_nopiv;8;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.906947e+01;3.395959e+02
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.704089e+01;6.332383e+02
0;dgetrf_nopiv;8;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.431642e+01;3.646924e+02
0;dgetrf_nopiv;8;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.290188e+01;3.728936e+02
0;dgetrf_nopiv;24;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.950379e+01;5.937585e+02
0;dgetrf_nopiv;8;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.216158e+01;3.773346e+02
0;dgetrf_nopiv;24;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.055343e+01;5.783903e+02
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.694016e+01;6.349650e+02
0;dgetrf_nopiv;8;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.535386e+01;3.589032e+02
0;dgetrf_nopiv;8;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.719729e+01;3.490574e+02
0;dgetrf_nopiv;8;0;1;1;0;256;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.902721e+01;3.398038e+02
0;dgetrf_nopiv;8;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.261419e+01;3.746070e+02
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.634234e+01;6.454100e+02
0;dgetrf_nopiv;8;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.291389e+01;3.728225e+02
0;dgetrf_nopiv;24;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.938071e+01;4.749975e+02
0;dgetrf_nopiv;8;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.436624e+01;3.644101e+02
0;dgetrf_nopiv;8;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.291250e+01;3.728307e+02
0;dgetrf_nopiv;24;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.139416e+01;5.666431e+02
0;dgetrf_nopiv;8;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;8.722651e+01;2.689058e+02
0;dgetrf_nopiv;24;0;1;1;0;400;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.798961e+01;6.174244e+02
0;dgetrf_nopiv;24;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.703456e+01;6.333466e+02
0;dgetrf_nopiv;24;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.909616e+01;5.999493e+02
0;dgetrf_nopiv;24;0;1;1;0;800;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.911861e+01;5.996049e+02
0;dgetrf_nopiv;24;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.066436e+01;5.768125e+02
0;dgetrf_nopiv;24;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.750394e+01;6.254200e+02
0;dgetrf_nopiv;8;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.416353e+01;3.655614e+02
0;dgetrf_nopiv;8;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;8.736282e+01;2.684862e+02
0;dgetrf_nopiv;8;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.256882e+01;3.748786e+02
0;dgetrf_nopiv;8;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.260911e+01;3.746374e+02
0;dgetrf_nopiv;24;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.754370e+01;6.247575e+02
0;dgetrf_nopiv;24;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.865488e+01;6.067982e+02
0;dgetrf_nopiv;24;0;1;1;0;1500;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.758443e+01;6.240805e+02
0;dgetrf_nopiv;24;0;1;1;0;1750;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.909409e+01;5.999811e+02
0;dgetrf_nopiv;24;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;5.005682e+01;4.685817e+02
0;dgetrf_nopiv;8;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.261264e+01;3.746163e+02
0;dgetrf_nopiv;8;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;8.715227e+01;2.691348e+02
0;dgetrf_nopiv;8;0;1;1;0;128;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;8.738670e+01;2.684128e+02
0;dgetrf_nopiv;8;0;1;1;0;1250;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;6.266697e+01;3.742915e+02
0;dgetrf_nopiv;24;0;1;1;0;320;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.810179e+01;6.156066e+02
0;dgetrf_nopiv;24;0;1;1;0;600;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.125996e+01;5.684860e+02
